Voltage_V,Current_A,State_x
-7.191919e-01,-7.191919e-04,1.000000e+00
-7.393939e-01,-7.393939e-04,1.000000e+00
-7.595960e-01,-7.595960e-04,1.000000e+00
-7.797980e-01,-7.797980e-04,1.000000e+00
-8.000000e-01,-8.000000e-04,1.000000e+00
0.000000e+00,0.000000e+00,1.000000e+00
1.212121e-02,1.212121e-05,1.000000e+00
2.424242e-02,2.424242e-05,1.000000e+00
3.636364e-02,3.636364e-05,1.000000e+00
4.848485e-02,4.848485e-05,1.000000e+00
6.060606e-02,6.060606e-05,1.000000e+00
7.272727e-02,7.272727e-05,1.000000e+00
8.484848e-02,8.484848e-05,1.000000e+00
9.696970e-02,9.696970e-05,1.000000e+00
1.090909e-01,1.090909e-04,1.000000e+00
1.212121e-01,1.212121e-04,1.000000e+00
1.333333e-01,1.333333e-04,1.000000e+00
1.454545e-01,1.454545e-04,1.000000e+00
1.575758e-01,1.575758e-04,1.000000e+00
1.696970e-01,1.696970e-04,1.000000e+00
1.818182e-01,1.818182e-04,1.000000e+00
